Comment,Designator,Footprint,LCSC Part #
0.5A,F2,Fuse_1812_4532Metric,
0R,"R12,R_M1_LNK,R_M2_LNK",R_0603_1608Metric,C21189
100k,"R1,R10,U2_RT_R,U4_RT_R",R_0603_1608Metric,C25803
100n,"C1,C10,C_M1_CS,C_M2_CS,U2_CB,U4_CB",C_0603_1608Metric,C14663
100u 50V,"C_M1_BR,C_M2_BR",C_1210_3225Metric,
10k,"R_M1_PU,R_M2_PU,U2_RC,U4_RC",R_0603_1608Metric,C25804
10k0,"R7,R9,U4_RL",R_0603_1608Metric,C25804
10k2,U2_RL,R_0603_1608Metric,
10u,C2,C_1210_3225Metric,
10u,U2_L,L_Bourns_SRP7028A_7.3x6.6mm,C2687402
12V,D2,D_SOD-123,
15A traege,F1,Fuse_Littelfuse-NANO2-451_453,
180k,R5,R_0603_1608Metric,C22827
1M,R1B,R_0603_1608Metric,C22935
1k,"R11,R_M1_F,R_M2_F",R_0603_1608Metric,C21190
1n,"C_M1_F,C_M2_F",C_0603_1608Metric,C1588
220u/35V Polymer,"C3,C4",CP_Elec_8x6.5,
22u,"C7,C8,C9,U4_CO",C_1210_3225Metric,
2u2,L1,L_Bourns_SRP5030T,
33k0,"R_M1_IL,R_M2_IL",R_0603_1608Metric,C4216
33u,U4_L,L_Bourns_SRP7028A_7.3x6.6mm,C2046760
392k,R3,R_0603_1608Metric,
3n3,"U2_CZ,U4_CZ",C_0603_1608Metric,C1613
40V 3A,"D4,D5",D_SMA,C84635
40k2,"R6,R8",R_0603_1608Metric,C12447
47u,U2_CO,C_1210_3225Metric,
53k6,U2_RH,R_0603_1608Metric,
5m0 1W,"R_M1_SH,R_M2_SH",R_2512_6332Metric,
60V 3A,"U2_D,U4_D",D_SMB,
68k1,U4_RH,R_0603_1608Metric,
74AHC1G08,"UM1_GA,UM1_GB,UM2_GA,UM2_GB",SOT-353_SC-70-5,C12490
74AUP1G74,"UM1_FF,UM2_FF",VSSOP-8_2.3x2mm_P0.5mm,C140267
88k7,R4,R_0603_1608Metric,
DRV8871,"UM1_BR,UM2_BR",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,C75864
Feld 16p,J1,Molex_Micro-Fit_3.0_43045-1612_2x08_P3.00mm_Vertical,
INA240A2,"UM1_CS,UM2_CS",SOIC-8_3.9x4.9mm_P1.27mm,C2060768
J_STK_A,J2,PinSocket_2x20_P1.27mm_Vertical,
J_STK_B,J3,PinSocket_2x20_P1.27mm_Vertical,
P-FET 40V 30A,Q1,PowerPAK_SO-8_Single,
SMBJ30A,D1,D_SMB,
TLV3702,"UM1_CMP,UM2_CMP",SOIC-8_3.9x4.9mm_P1.27mm,
TLV62569,U3,SOT-23-5,C141836
TPS54360,"U2,U4",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,C44377
