Designator,Mid X,Mid Y,Layer,Rotation
C1,-9.7186,-11.1484,Bottom,0.0
C2,-16.9526,-14.7965,Bottom,90.0
C3,-6.5000,-5.6000,Bottom,0.0
C4,6.5000,-5.6000,Bottom,0.0
C9,18.4494,12.7251,Bottom,90.0
C_M1_BR,-5.8106,11.5172,Bottom,0.0
C_M1_F,-0.0358,-9.7811,Bottom,90.0
C_M2_BR,5.2500,11.6998,Bottom,0.0
C_M2_F,-17.3907,-2.3483,Bottom,90.0
D2,18.0000,-8.4000,Bottom,90.0
D4,-11.5426,18.0426,Bottom,0.0
F2,10.9526,18.5601,Bottom,0.0
J2,-13.5650,-10.0600,Bottom,0.0
J3,14.8350,-10.0600,Bottom,0.0
R1,7.7765,-11.2978,Bottom,0.0
R11,-17.4579,15.8856,Bottom,90.0
R3,-3.2212,17.5878,Bottom,0.0
R4,0.2788,17.5878,Bottom,0.0
R6,-23.2461,5.2689,Bottom,90.0
R7,-9.5486,-0.0600,Bottom,0.0
R9,3.7203,-11.2117,Bottom,0.0
R_M1_F,-2.6339,-11.2811,Bottom,0.0
R_M1_IL,-6.2196,0.0769,Bottom,0.0
R_M1_LNK,-6.2574,-11.3374,Bottom,0.0
R_M1_PU,-0.0362,-5.2428,Bottom,90.0
R_M2_F,-23.3178,-6.0725,Bottom,90.0
R_M2_IL,7.7804,0.0769,Bottom,0.0
R_M2_LNK,-5.3040,-23.5331,Bottom,0.0
R_M2_SH,-20.2057,7.1576,Bottom,90.0
U2_D,-4.0000,21.0000,Bottom,0.0
U2_RH,-8.9384,21.7822,Bottom,90.0
U2_RT_R,3.6089,17.2112,Bottom,0.0
U4_CB,9.9487,21.7832,Bottom,0.0
U4_D,4.0000,21.0000,Bottom,0.0
U4_RL,15.0735,17.8973,Bottom,90.0
UM1_GB,-18.5433,12.7750,Bottom,0.0
UM2_CMP,0.1474,2.9561,Bottom,90.0
UM2_CS,-19.4207,-8.3225,Bottom,90.0
UM2_GB,18.0000,4.0000,Bottom,90.0
C10,-17.3132,15.1985,Top,90.0
C7,-16.9526,-14.7965,Top,90.0
C8,-8.9327,-2.1713,Top,0.0
C_M1_CS,-4.9264,-10.5615,Top,90.0
C_M2_CS,-5.3040,-23.5331,Top,0.0
D1,5.7264,-2.1184,Top,0.0
D5,-20.4317,5.4915,Top,0.0
F1,0.0000,-8.4000,Top,0.0
J1,-10.5000,-15.5800,Top,0.0
L1,-19.5221,-7.6678,Top,90.0
Q1,7.0000,-8.4000,Top,90.0
R10,-17.3132,1.8029,Top,90.0
R12,-19.7093,-13.2479,Top,90.0
R1B,11.0000,-8.4000,Top,90.0
R5,-19.5307,12.2118,Top,0.0
R8,-0.5956,-11.4768,Top,0.0
R_M1_SH,-0.7711,4.3362,Top,90.0
R_M2_PU,10.9834,-0.8950,Top,90.0
U2,-4.0000,21.0000,Top,0.0
U2_CB,-8.9384,20.2178,Top,90.0
U2_CO,-0.8000,13.8000,Top,90.0
U2_CZ,-14.8858,17.9677,Top,90.0
U2_L,-7.3000,13.8000,Top,0.0
U2_RC,-12.8633,19.4372,Top,90.0
U2_RL,-10.8245,19.4424,Top,90.0
U3,-20.3072,9.3140,Top,0.0
U4,4.0000,21.0000,Top,0.0
U4_CO,11.0242,19.7271,Top,0.0
U4_CZ,19.0548,10.9022,Top,0.0
U4_L,7.3000,13.8000,Top,0.0
U4_RC,18.2894,12.7500,Top,0.0
U4_RH,14.5544,17.9009,Top,90.0
U4_RT_R,17.4702,15.6330,Top,90.0
UM1_BR,-7.0000,4.0000,Top,0.0
UM1_CMP,-2.1575,-3.1215,Top,0.0
UM1_CS,-8.9407,-8.2439,Top,90.0
UM1_FF,-6.7591,8.5007,Top,0.0
UM1_GA,-0.7184,9.7264,Top,0.0
UM2_BR,7.0000,4.0000,Top,0.0
UM2_FF,4.2409,8.5007,Top,0.0
UM2_GA,8.5391,8.2286,Top,0.0
