Designator,Mid X,Mid Y,Layer,Rotation
C3,11.0000,12.1700,Bottom,90.0
C4,-10.7486,9.8318,Bottom,90.0
C5,-10.8880,13.7355,Bottom,90.0
C6,-10.9538,6.1481,Bottom,90.0
C7,-4.3644,-7.2728,Bottom,0.0
C8,-7.6555,-4.1223,Bottom,90.0
C9,-7.9531,-6.9960,Bottom,0.0
D1,3.1224,-12.2725,Bottom,0.0
D2,-17.7936,12.5209,Bottom,90.0
D3,-18.0096,7.4082,Bottom,90.0
D4,-21.9161,5.1594,Bottom,0.0
D5,-20.7918,9.5853,Bottom,90.0
Q2,3.1224,-8.7725,Bottom,90.0
R10,-0.7840,-9.2589,Bottom,0.0
R11,-5.7956,-3.3529,Bottom,90.0
R14,-3.8036,-9.9568,Bottom,90.0
R15,-9.7237,-4.1345,Bottom,90.0
R17,-0.7847,-12.2706,Bottom,90.0
R3,-8.0000,-12.0000,Bottom,0.0
R4,-7.2346,-13.8478,Bottom,0.0
R5,-8.7654,-10.1522,Bottom,0.0
R6,10.8360,8.3189,Bottom,90.0
R9,-0.7827,-7.2440,Bottom,0.0
SW2,8.3732,-5.9929,Bottom,90.0
U3,0.0000,-1.8000,Bottom,0.0
U5,-13.8159,-13.4751,Bottom,0.0
BZ1,5.5000,-8.0000,Top,0.0
C1,10.8360,8.3189,Top,90.0
C10,-10.0335,-4.8949,Top,90.0
C2,11.0000,12.1700,Top,90.0
D6,-21.6552,8.1821,Top,90.0
J2,-13.5650,14.0600,Top,0.0
J3,14.8350,14.0600,Top,0.0
J7,-20.0000,-8.4000,Top,90.0
R1,-10.7486,9.8318,Top,90.0
R12,-2.3176,-8.9329,Top,0.0
R13,-18.1919,5.5865,Top,0.0
R16,-2.3321,-11.0093,Top,0.0
R18,-15.6897,-13.2653,Top,90.0
R19,-18.4444,-14.7111,Top,0.0
R2,-10.8880,13.7355,Top,90.0
R7,-10.9538,6.1481,Top,90.0
R8,10.6988,4.7852,Top,90.0
SW1,-4.6556,-4.6993,Top,0.0
U1,0.0000,12.1700,Top,0.0
U2,-8.0000,-12.0000,Top,0.0
U4,-18.1919,11.0865,Top,90.0
