Designator,Mid X,Mid Y,Layer,Rotation
B_C1,-65.4686,-11.1484,Bottom,0.0
B_C2,-72.7026,-14.7965,Bottom,90.0
B_C3,-62.2500,-5.6000,Bottom,0.0
B_C4,-49.2500,-5.6000,Bottom,0.0
B_C9,-53.3884,13.0178,Bottom,90.0
B_C_M1_F,-55.7858,-9.7811,Bottom,90.0
B_C_M2_F,-73.1407,-2.3483,Bottom,90.0
B_D2,-37.7500,-8.4000,Bottom,90.0
B_D4,-63.0500,13.8000,Bottom,0.0
B_D5,-67.7843,17.7555,Bottom,0.0
B_F2,-48.4500,13.8000,Bottom,0.0
B_R1,-47.9735,-11.2978,Bottom,0.0
B_R12,-57.2279,-23.4921,Bottom,0.0
B_R3,-58.9712,17.5878,Bottom,0.0
B_R7,-65.2986,-0.0600,Bottom,0.0
B_R9,-52.0297,-11.2117,Bottom,0.0
B_R_M1_F,-58.3839,-11.2811,Bottom,0.0
B_R_M1_IL,-61.9696,0.0769,Bottom,0.0
B_R_M1_LNK,-62.0074,-11.3374,Bottom,0.0
B_R_M1_PU,-55.7862,-5.2428,Bottom,90.0
B_R_M2_F,-79.0678,-6.0725,Bottom,90.0
B_R_M2_IL,-47.9696,0.0769,Bottom,0.0
B_R_M2_LNK,-61.0540,-23.5331,Bottom,0.0
B_R_M2_SH,-75.9557,7.1576,Bottom,90.0
B_U2_CO,-62.2696,9.8769,Bottom,0.0
B_U2_CZ,-57.4628,13.3942,Bottom,0.0
B_U2_D,-59.7500,21.0000,Bottom,0.0
B_U2_RH,-64.6884,21.7822,Bottom,90.0
B_U2_RL,-55.5934,17.3983,Bottom,0.0
B_U2_RT_R,-57.4539,15.4567,Bottom,0.0
B_U3,-57.6725,9.3764,Bottom,90.0
B_U4_CB,-50.9712,17.5878,Bottom,0.0
B_U4_CO,-47.6696,9.8769,Bottom,0.0
B_U4_D,-51.7500,21.0000,Bottom,0.0
B_U4_RC,-44.7940,20.2162,Bottom,90.0
B_U4_RH,-46.7500,21.0000,Bottom,90.0
B_U4_RT_R,-47.5934,17.3983,Bottom,0.0
B_UM1_FF,-66.1368,8.9940,Bottom,90.0
B_UM2_CMP,-55.6026,2.9561,Bottom,90.0
B_UM2_CS,-75.1707,-8.3225,Bottom,90.0
B_UM2_FF,-51.7891,8.2286,Bottom,0.0
M_C2,12.2500,16.2700,Bottom,90.0
M_C4,-9.4986,13.9318,Bottom,90.0
M_C5,-9.6380,17.8355,Bottom,90.0
M_C9,-4.8276,0.5049,Bottom,90.0
M_D1,7.5288,-11.9122,Bottom,0.0
M_D3,-13.0915,16.9578,Bottom,0.0
M_D4,-19.5400,9.5865,Bottom,90.0
M_D5,-16.5436,12.5209,Bottom,90.0
M_D6,-16.7596,7.4082,Bottom,90.0
M_Q2,6.7500,-8.5000,Bottom,0.0
M_R12,2.0327,-7.2440,Bottom,0.0
M_R14,-4.5456,-3.3529,Bottom,90.0
M_R16,-1.7707,-7.5555,Bottom,0.0
M_R3,-6.7500,-12.0000,Bottom,0.0
M_R4,-5.9846,-13.8478,Bottom,0.0
M_R5,-7.5154,-10.1522,Bottom,0.0
M_R6,12.0860,12.4189,Bottom,90.0
M_R7,12.0860,20.1211,Bottom,90.0
M_SW2,9.6232,-1.8929,Bottom,90.0
M_U3,1.2500,-1.8000,Bottom,0.0
M_U5,-12.5659,-13.4751,Bottom,0.0
T_C1,70.3378,19.2212,Bottom,90.0
T_C2,73.7500,20.0000,Bottom,0.0
T_F1,76.0572,12.9067,Bottom,0.0
T_Q1,75.2807,16.3045,Bottom,0.0
T_R4,71.3576,16.5848,Bottom,0.0
T_R5,52.2500,19.0000,Bottom,0.0
B_C10,-79.2481,-5.6390,Top,90.0
B_C7,-72.7026,-14.7965,Top,90.0
B_C8,-64.6827,-2.1713,Top,0.0
B_C_M1_BR,-75.4016,4.9748,Top,0.0
B_C_M1_CS,-60.6764,-10.5615,Top,90.0
B_C_M2_BR,-75.4697,8.7304,Top,0.0
B_C_M2_CS,-61.0540,-23.5331,Top,0.0
B_D1,-50.0236,-2.1184,Top,0.0
B_F1,-55.7500,-8.4000,Top,0.0
B_J1,-66.2500,-15.5800,Top,0.0
B_J2,-69.3150,14.0600,Top,0.0
