Comment,Designator,Footprint,LCSC Part #
"0,2 A PTC",F1,Fuse_1206_3216Metric,C207035
100k,"R4,R_BLG",R_0603_1608Metric,C25803
100n,"C1,C3",C_0603_1608Metric,C14663
10k,"R3,R5",R_0603_1608Metric,C25804
22u,C2,C_1210_3225Metric,C52306
39R,R_BL,R_0603_1608Metric,
4u7,C4,C_0603_1608Metric,C19666
BC847,Q1,SOT-23,C181141
BTN1,SW1,SW_SPST_SKQG_WithStem,C115351
BTN2,SW2,SW_SPST_SKQG_WithStem,C115351
BTN3,SW3,SW_SPST_SKQG_WithStem,C115351
BTN4,SW4,SW_SPST_SKQG_WithStem,C115351
ER-TFT1.69-3,J5,FPC_Loetfeld_12x0.7mm,
HAUPT,SW5,SW_DIP_SPSTx01_Slide_Copal_CVS-01xB_W5.9mm_P1mm,
J_STK_A,J2,PinSocket_2x20_P1.27mm_Vertical,
J_STK_B,J3,PinSocket_2x20_P1.27mm_Vertical,
N-FET 30V 1A,Q_BL,SOT-23,C20917
P-FET 20V 1A,Q2,SOT-23,C15127
SHT40-AD1B,U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C2909890
Stern (intern),J6,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893
VL53L1X,U3,ST_VL53L1x,
