Designator,Mid X,Mid Y,Layer,Rotation
C2,18.0000,20.0000,Bottom,0.0
C3,14.5878,19.2212,Bottom,90.0
C4,15.1075,16.5528,Bottom,0.0
F1,20.0533,12.6567,Bottom,0.0
J2,-13.5650,-10.0600,Bottom,0.0
J3,14.8350,-10.0600,Bottom,0.0
J5,0.0000,-3.9200,Bottom,0.0
J6,0.0000,-18.0000,Bottom,0.0
Q1,19.5307,16.3045,Bottom,0.0
Q_BL,0.0000,-8.4200,Bottom,0.0
R5,5.5000,19.0000,Bottom,0.0
R_BL,4.1566,-7.5217,Bottom,0.0
R_BLG,0.7765,-11.3178,Bottom,0.0
C1,16.4814,16.8466,Top,0.0
Q2,20.8298,15.5545,Top,0.0
R3,21.0615,12.6090,Top,0.0
R4,20.8298,10.5545,Top,0.0
SW1,18.0000,20.0000,Top,0.0
SW2,-18.0000,20.0000,Top,0.0
SW3,-18.0000,-20.0000,Top,0.0
SW4,18.0000,-20.0000,Top,0.0
SW5,11.9000,19.4000,Top,90.0
U2,-5.5000,19.0000,Top,0.0
U3,5.5000,19.0000,Top,0.0
