Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",12.800823,-19.649785,90.000000,bottom
"C2","22u","C_1210_3225Metric",9.131417,-18.031635,0.000000,bottom
"Q1","BC847","SOT-23",3.759788,-14.151809,0.000000,bottom
"Q2","P-FET 20V 1A","SOT-23",3.759788,-10.151809,90.000000,bottom
"R1","5k1","R_0603_1608Metric",6.422200,-22.732456,90.000000,bottom
"R2","5k1","R_0603_1608Metric",8.324395,-21.932579,90.000000,bottom
"R3","10k","R_0603_1608Metric",3.759788,-6.651809,0.000000,bottom
"R4","100k","R_0603_1608Metric",6.652332,-6.704609,90.000000,bottom
"U1","USBLC6-2SC6","SOT-23-6",-7.572930,-21.043387,90.000000,bottom
"J1","USB-C","USB_C_Receptacle_GCT_USB4085",2.975000,-25.625000,180.000000,top
"J2","J_STK_A","PinSocket_2x20_P1.27mm_Vertical",-13.555000,14.049999,0.000000,top
"J3","J_STK_B","PinSocket_2x20_P1.27mm_Vertical",14.844999,14.049999,0.000000,top
"J5","ST77916 QSPI","PinHeader_1x10_P1.27mm_Vertical",0.000000,2.724999,0.000000,top
"J6","Stern","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",8.350000,-13.600000,90.000000,top
"J7","Radar","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",-9.299999,-12.750000,0.000000,top
"SW1A","BTN1","SW_Push_SPST_NO_Alps_SKRK",20.671351,10.532580,90.000000,top
"SW1B","BTN1","SW_Push_SPST_NO_Alps_SKRK",10.532580,20.671351,0.000000,top
"SW2A","BTN2","SW_Push_SPST_NO_Alps_SKRK",-10.532580,20.671351,0.000000,top
"SW2B","BTN2","SW_Push_SPST_NO_Alps_SKRK",-20.671351,10.532580,90.000000,top
"SW3A","BTN3","SW_Push_SPST_NO_Alps_SKRK",-20.671351,-10.532580,90.000000,top
"SW3B","BTN3","SW_Push_SPST_NO_Alps_SKRK",-10.532580,-20.671351,0.000000,top
"SW4A","BTN4","SW_Push_SPST_NO_Alps_SKRK",10.532580,-20.671351,0.000000,top
"SW4B","BTN4","SW_Push_SPST_NO_Alps_SKRK",20.671351,-10.532580,90.000000,top
"U2","SHT40-AD1B","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",-10.500000,13.500000,0.000000,top
